,Unnamed: 0.1,Unnamed: 0,id_account,client_id,in_default,balance,housing,loan,contact,id_campaign,account_id,day,month,duration,campaign,pdays,previous,id_account.1,age,job,marital,education,monthly_income,id_outcome,campaign_id,poutcome,y,prediction,prob_0,prob_1,expected_revenue
3414,21745,21745,21746,2968414,no,497,no,no,cellular,21746,21746,19,aug,135,3,-1,0,2968414,47,unknown,married,unknown,1426.2641094572614,21746,21746,unknown,unknown,1,0.03,0.97,1383.4761861735435
3835,22815,22815,22816,9314258,no,558,no,no,cellular,22816,22816,25,aug,433,6,-1,0,9314258,48,unknown,married,unknown,1350.0527488033078,22816,22816,unknown,unknown,1,0.03,0.97,1309.5511663392083
5270,44405,44405,44406,6551892,no,1500,no,no,cellular,44406,44406,4,aug,248,1,182,1,6551892,59,unknown,married,unknown,1155.226365,44406,44406,other,unknown,1,0.03,0.97,1120.5695741395891
6152,23944,23944,23945,9190532,no,653,no,no,telephone,23945,23945,29,aug,17,18,-1,0,9190532,38,unknown,married,unknown,1063.408225343134,23945,23945,unknown,unknown,1,0.03,0.97,1031.505979
6898,17739,17739,17740,9037970,no,4413,no,no,telephone,17740,17740,29,jul,77,35,-1,0,9037970,45,unknown,married,unknown,998.5063292659984,17740,17740,unknown,unknown,1,0.03,0.97,968.5511393880184
8162,11062,11062,11063,5753718,no,1979,no,no,unknown,11063,11063,17,jun,76,3,-1,0,5753718,45,unknown,married,unknown,902.6806502904728,11063,11063,unknown,unknown,1,0.03,0.97,875.6002307817587
8571,42988,42988,42989,2954870,no,1211,no,no,cellular,42989,42989,11,feb,535,1,188,1,2954870,33,unemployed,married,secondary,876.9045686115863,42989,42989,success,unknown,1,0.03,0.97,850.5974315532387
8626,22979,22979,22980,3391767,no,222,no,no,cellular,22980,22980,26,aug,80,16,-1,0,3391767,42,unknown,married,unknown,873.5452811932405,22980,22980,unknown,unknown,1,0.03,0.97,847.3389227574432
9569,45186,45186,45187,2925786,no,1500,no,no,cellular,45187,45187,16,nov,280,1,104,2,2925786,59,unknown,married,unknown,817.8621525021051,45187,45187,failure,unknown,1,0.03,0.97,793.3262879270419
10162,43262,43262,43263,2905910,no,1416,no,no,cellular,43263,43263,10,mar,436,2,182,1,2905910,52,unemployed,married,secondary,784.8085388043385,43263,43263,success,unknown,1,0.03,0.97,761.2642826402083
10289,19069,19069,19070,5454325,no,1541,no,no,cellular,19070,19070,5,aug,790,1,-1,0,5454325,59,unknown,married,unknown,777.9388507209492,19070,19070,unknown,unknown,1,0.03,0.97,754.6006851993207
11096,18593,18593,18594,9501090,no,1317,no,no,telephone,18594,18594,31,jul,444,6,-1,0,9501090,44,unknown,married,unknown,738.2267790650476,18594,18594,unknown,unknown,1,0.03,0.97,716.0799756930961
11561,42765,42765,42766,9980963,no,8919,no,no,cellular,42766,42766,28,jan,231,1,-1,0,9980963,76,retired,married,unknown,715.5872942635604,42766,42766,unknown,unknown,1,0.03,0.97,694.1196754356536
11609,11334,11334,11335,8903384,no,2261,no,no,unknown,11335,11335,18,jun,445,3,-1,0,8903384,48,unknown,married,unknown,713.1333472008506,11335,11335,unknown,unknown,1,0.03,0.97,691.7393467848251
11702,43037,43037,43038,9316761,no,7819,no,no,cellular,43038,43038,15,feb,261,1,97,4,9316761,75,retired,married,unknown,709.1153084941095,43038,43038,other,unknown,1,0.03,0.97,687.8418492392863
15425,44769,44769,44770,6984308,no,1416,no,no,cellular,44770,44770,13,sep,218,3,187,3,6984308,52,unemployed,married,secondary,558.1068456114568,44770,44770,success,unknown,1,0.03,0.97,541.3636402431131
2,42189,42189,42190,8739923,no,0,no,no,cellular,42190,42190,10,nov,147,1,96,8,8739923,40,management,married,tertiary,5450.053762717201,42190,42190,success,yes,1,0.04,0.96,5232.051612208513
12,44457,44457,44458,7969205,no,2283,no,no,cellular,44458,44458,6,aug,303,2,92,4,7969205,37,management,married,tertiary,5103.242508740832,44458,44458,success,unknown,1,0.04,0.96,4899.112808391198
14,40670,40670,40671,3232718,no,0,no,no,cellular,40671,40671,6,aug,131,2,98,6,3232718,40,management,married,tertiary,5044.759748592637,40671,40671,success,unknown,1,0.04,0.96,4842.969358648931
40,41403,41403,41404,2314570,no,1270,no,no,cellular,41404,41404,3,sep,420,1,15,3,2314570,32,management,married,tertiary,4691.536539339982,41404,41404,success,unknown,1,0.04,0.96,4503.875077766382
48,34009,34009,34010,6959596,no,630,no,no,cellular,34010,34010,30,apr,315,1,87,1,6959596,37,management,married,tertiary,4609.555035277633,34010,34010,success,unknown,1,0.04,0.96,4425.172833866527
126,44751,44751,44752,4460660,no,877,no,no,cellular,44752,44752,9,sep,209,1,92,8,4460660,31,management,married,tertiary,4066.6357378879584,44752,44752,success,unknown,1,0.04,0.96,3903.970308
205,41655,41655,41656,3538667,no,611,no,no,cellular,41656,41656,1,oct,305,2,121,1,3538667,35,management,married,tertiary,3789.1691806718536,41656,41656,success,unknown,1,0.04,0.96,3637.602413444979
328,44852,44852,44853,8555523,no,2693,no,no,cellular,44853,44853,22,sep,182,1,184,7,8555523,55,management,married,secondary,3438.128774496516,44853,44853,success,unknown,1,0.04,0.96,3300.6036235166557
332,39854,39854,39855,9221443,no,2240,yes,no,cellular,39855,39855,2,jun,282,2,385,1,9221443,53,management,married,unknown,3428.6657245849988,39855,39855,success,yes,1,0.04,0.96,3291.5190956015986
363,43655,43655,43656,8395343,no,62,no,no,cellular,43656,43656,7,may,226,2,88,4,8395343,35,management,married,tertiary,3366.1382865290893,43656,43656,success,unknown,1,0.04,0.96,3231.492755067926
388,40888,40888,40889,5947521,no,1331,no,no,cellular,40889,40889,12,aug,93,1,104,4,5947521,32,management,married,tertiary,3327.046419371573,40889,40889,success,unknown,1,0.04,0.96,3193.964563
884,45175,45175,45176,4040630,no,2543,no,no,cellular,45176,45176,11,nov,357,3,93,5,4040630,38,entrepreneur,single,secondary,2604.8613374067445,45176,45176,success,unknown,1,0.04,0.96,2500.6668839104746
2033,40196,40196,40197,4743417,no,0,no,no,cellular,40197,40197,8,jun,257,2,97,1,4743417,37,unknown,single,tertiary,1873.5776716726973,40197,40197,success,unknown,1,0.04,0.96,1798.6345648057893
2462,30680,30680,30681,2950300,no,195,no,no,cellular,30681,30681,6,feb,74,2,-1,0,2950300,39,technician,married,unknown,1704.6723543248922,30681,30681,unknown,unknown,1,0.04,0.96,1636.4854601518964
3284,43653,43653,43654,4226323,no,397,no,no,telephone,43654,43654,7,may,300,3,-1,0,4226323,77,unknown,married,unknown,1469.9886263847454,43654,43654,unknown,unknown,1,0.04,0.96,1411.1890813293555
4801,18944,18944,18945,8584710,no,2834,no,no,cellular,18945,18945,4,aug,112,1,-1,0,8584710,45,unknown,married,unknown,1227.2971913609092,18945,18945,unknown,unknown,1,0.04,0.96,1178.2053037064727
4855,9400,9400,9401,1837095,no,750,no,no,unknown,9401,9401,6,jun,188,1,-1,0,1837095,47,unknown,married,unknown,1221.7943492821944,9401,9401,unknown,unknown,1,0.04,0.96,1172.9225753109065
5883,21148,21148,21149,4265146,no,301,no,no,cellular,21149,21149,14,aug,789,2,-1,0,4265146,49,unknown,married,unknown,1099.6687776511988,21149,21149,unknown,no,1,0.04,0.96,1055.6820265451508
6067,18943,18943,18944,4021578,no,194,no,no,cellular,18944,18944,4,aug,108,1,-1,0,4021578,47,unknown,married,unknown,1082.276611903293,18944,18944,unknown,unknown,1,0.04,0.96,1038.9855474271612
6251,17704,17704,17705,7356043,no,2642,no,no,cellular,17705,17705,29,jul,52,6,-1,0,7356043,51,unknown,married,unknown,1065.135960139583,17705,17705,unknown,unknown,1,0.04,0.96,1022.5305217339996
6298,11130,11130,11131,2804719,no,1370,no,no,unknown,11131,11131,18,jun,221,5,-1,0,2804719,36,unknown,married,secondary,1060.5999469913222,11131,11131,unknown,unknown,1,0.04,0.96,1018.1759491116692
6434,44187,44187,44188,9647402,no,5021,no,no,cellular,44188,44188,15,jul,957,1,182,1,9647402,46,admin.,married,secondary,1048.5764859239746,44188,44188,success,unknown,1,0.04,0.96,1006.6334264870156
6727,40679,40679,40680,1568145,no,4717,no,no,telephone,40680,40680,6,aug,256,1,-1,0,1568145,65,unknown,married,unknown,1022.1695434935352,40680,40680,unknown,yes,1,0.04,0.96,981.2827617537938
7706,12750,12750,12751,2901344,no,2911,no,no,telephone,12751,12751,7,jul,41,9,-1,0,2901344,46,unknown,married,unknown,947.2562979,12751,12751,unknown,unknown,1,0.04,0.96,909.3660459866936
8059,42987,42987,42988,7802324,no,5291,no,no,cellular,42988,42988,11,feb,293,1,91,4,7802324,27,student,single,tertiary,919.749607,42988,42988,success,unknown,1,0.04,0.96,882.9596227187327
8997,42462,42462,42463,9931444,no,8304,no,no,cellular,42463,42463,9,dec,456,2,275,9,9931444,79,retired,married,secondary,860.3395519373565,42463,42463,success,unknown,1,0.04,0.96,825.9259698598622
9627,43423,43423,43424,3349571,no,8304,no,no,telephone,43424,43424,6,apr,681,1,118,11,3349571,80,retired,married,secondary,822.7949446853688,43424,43424,success,no,1,0.04,0.96,789.8831469
9669,44738,44738,44739,3824715,no,8304,no,no,telephone,44739,44739,8,sep,606,3,91,13,3824715,80,retired,married,secondary,820.3758553069068,44739,44739,success,unknown,1,0.04,0.96,787.5608210946306
10034,43819,43819,43820,5708620,no,1047,no,no,cellular,43820,43820,27,may,173,3,279,4,5708620,60,unemployed,married,secondary,800.3494197205924,43820,43820,success,unknown,1,0.04,0.96,768.3354429317687
10440,41241,41241,41242,5940240,no,1047,no,no,cellular,41242,41242,21,aug,438,1,184,3,5940240,59,unemployed,married,secondary,777.6786137966977,41242,41242,success,unknown,1,0.04,0.96,746.5714692448298
11055,43044,43044,43045,2008548,no,2424,no,no,cellular,43045,43045,15,feb,337,1,95,2,2008548,30,unemployed,single,secondary,747.8041724636108,43045,43045,success,unknown,1,0.04,0.96,717.8920055650664
32,40124,40124,40125,2458100,no,171,no,no,cellular,40125,40125,5,jun,324,1,87,1,2458100,28,management,single,secondary,4858.524231757115,40125,40125,success,unknown,1,0.05,0.95,4615.598020169259
70,44796,44796,44797,6882216,no,76,no,no,cellular,44797,44797,15,sep,200,1,183,1,6882216,39,management,married,unknown,4441.181767,44797,44797,success,unknown,1,0.05,0.95,4219.122678247504
116,43547,43547,43548,7547189,no,1445,no,no,cellular,43548,43548,26,apr,328,2,143,2,7547189,29,management,single,tertiary,4160.396364197402,43548,43548,success,yes,1,0.05,0.95,3952.376545987532
187,39845,39845,39846,2272661,no,92,no,no,cellular,39846,39846,2,jun,101,1,92,5,2272661,29,management,single,tertiary,3880.3760503458216,39846,39846,success,unknown,1,0.05,0.95,3686.3572478285305
189,42585,42585,42586,9162525,no,544,no,no,cellular,42586,42586,29,dec,63,3,200,9,9162525,61,management,married,secondary,3876.4127069669366,42586,42586,success,unknown,1,0.05,0.95,3682.5920716185897
200,43892,43892,43893,6021576,no,187,no,no,cellular,43893,43893,9,jun,206,1,92,1,6021576,28,management,single,tertiary,3841.1346185575503,43893,43893,success,unknown,1,0.05,0.95,3649.0778876296727
471,43257,43257,43258,8547966,no,282,no,no,cellular,43258,43258,9,mar,700,2,154,3,8547966,44,management,married,unknown,3171.302250360984,43258,43258,success,unknown,1,0.05,0.95,3012.7371378429348
761,44763,44763,44764,2394946,no,187,no,no,cellular,44764,44764,10,sep,255,1,93,2,2394946,28,management,single,tertiary,2755.234155463457,44764,44764,success,unknown,1,0.05,0.95,2617.472447690284
856,43303,43303,43304,7986213,no,1205,no,no,telephone,43304,43304,15,mar,129,1,188,2,7986213,42,management,married,tertiary,2665.4230354557903,43304,43304,success,unknown,1,0.05,0.95,2532.1518836830005
2670,40330,40330,40331,9349125,no,3735,no,no,cellular,40331,40331,17,jun,243,3,91,6,9349125,59,admin.,married,secondary,1657.660357641077,40331,40331,success,unknown,1,0.05,0.95,1574.777339759023
2697,43339,43339,43340,1611838,no,3735,no,no,cellular,43340,43340,22,mar,248,1,90,10,1611838,60,admin.,married,secondary,1649.964766575462,43340,43340,success,unknown,1,0.05,0.95,1567.4665282466888
